"","term","point"
"1","Z66",8.6660545276193
"2","F01",4.46342249119995
"3","I48",18.6537075243208
"4","I44",3.05868793486169
"5","I08",5.20050364095472
"6","I35",1.88858941483788
"7","hfcm",2.37587591800975
"8","ihd",11.6782591041217
"9","N18",2.26601880930433
"10","htn_hkt",5.54103112651781
"11","D63",2.30954114680324
"12","W01",13.7600766265113
"13","E11",13.2325618542494
"14","Z99",4.1028558450221
"15","L97",2.80281367128864
